adult_population,workbound,homebound
4376.485899287382,-554.0,296.0
1617.0779556891653,2041.0,886.0
3856.4268900829074,1068.0,1441.0
3565.5357279390796,1981.0,482.0
2622.086074394935,1138.0,321.0
2267.248418563656,120.0,1656.0
3269.754652956305,3869.0,1705.0
955.9076888218411,318.0,16.0
7770.84153124401,1045.0,588.0
2011.224794575921,932.0,107.0
2124.1518982337993,820.0,26.0
2558.419771849378,1073.0,-15.0
6600.745206285456,856.0,2940.0
6840.335279876378,5273.0,1740.0
4494.497219409187,9457.0,5165.0
5876.104601700975,3490.0,4770.0
2740.756837728573,2743.0,401.0
3551.497681307388,1728.0,571.0
4014.2341397822165,659.0,232.0
4810.419616187371,2925.0,8998.0
2768.508350738952,738.0,-239.0
2055.2852911234877,1016.0,288.0
5562.736821734741,3087.0,1013.0
4265.506654125709,3252.0,532.0
5452.632005987737,3804.0,443.0
3300.7474385464348,2419.0,570.0
5369.9664545994865,4357.0,7514.0
3669.8789238263707,1009.0,9151.0
6623.369330840345,2538.0,1620.0
308.51189126842706,-62.0,8143.0
3855.964359438302,1372.0,611.0
1782.4761995269316,1544.0,647.0
9581.689571293231,2007.0,955.0
9571.564049911965,8873.0,1256.0
2189.50412006067,861.0,492.0
5415.018019699413,9050.0,7461.0
2886.5719064352984,462.0,181.0
3307.639615250924,726.0,176.0
7059.405102048413,3122.0,1724.0
798.8478717226862,-215.0,4842.0
7504.577183624971,5602.0,850.0
8941.817133370474,6614.0,2179.0
2376.2845258407447,289.0,12293.0
4399.492860994929,6174.0,1742.0
1683.6097343975086,1680.0,373.0
232.8939127496931,5153.0,6111.0
8363.63490130384,2266.0,315.0
3699.444708618586,2792.0,1307.0
8866.472484404907,3621.0,781.0
1653.6647677354076,2972.0,321.0
2401.2192847822416,389.0,111.0
4076.305363888942,498.0,150.0
9267.780666064278,1584.0,763.0
2312.287522771822,1361.0,3217.0
4921.257716689524,12902.0,10187.0
4356.68543758909,19394.0,17963.0
6635.952611718687,3525.0,723.0
2733.48049906998,1694.0,274.0
2874.753856989832,450.0,11465.0
7217.328943005995,2054.0,846.0
3006.198908430154,54234.0,19215.0
6577.73835312756,1282.0,632.0
3451.4212321551977,3846.0,3185.0
2018.783350414852,929.0,97.0
5169.40863715511,1525.0,1271.0
3763.128437276059,1397.0,157.0
2984.3525094462307,1346.0,409.0
8137.903836024448,8228.0,2860.0
3880.9673900877588,754.0,133.0
8796.209452997704,1860.0,1070.0
1848.662980155321,927.0,230.0
9716.956006322991,1670.0,1044.0
568.9758412281749,12.0,9474.0
1766.5222930048774,1667.0,4893.0
9652.713306584845,1413.0,3802.0
6916.957281206205,4158.0,489.0
4015.0680764451567,1587.0,1211.0
3956.257589635919,4981.0,3346.0
2482.722822377545,1268.0,432.0
6843.498132593874,3202.0,1425.0
3065.3880379882353,3247.0,237.0
3875.1715817561003,2238.0,194.0
